,trial,uuid,label,ratio,gender
27,27,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,1.111111111,f
28,28,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,1.142857143,f
29,29,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,1.111111111,f
30,0,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,2.0,m
31,1,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,1.5,m
32,2,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,1.5,m
33,3,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,2.0,m
34,4,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,2.0,m
35,5,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,1.5,m
36,6,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,1.25,m
37,7,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,2.0,m
38,8,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,1.5,m
39,9,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,2.0,m
40,10,25cb97ad-2d44-443a-b5cb-09b8949a9a11,1.0,1.25,m
41,11,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,1.5,m
42,12,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,1.25,m
43,13,25cb97ad-2d44-443a-b5cb-09b8949a9a11,1.0,1.166666667,m
44,14,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,1.25,m
45,15,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.5,1.142857143,m
46,16,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,1.166666667,m
47,17,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,1.142857143,m
48,18,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,1.25,m
49,19,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,1.166666667,m
50,20,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,1.142857143,m
51,21,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,1.142857143,m
52,22,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,1.111111111,m
53,23,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,1.166666667,m
54,24,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,1.111111111,m
55,25,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.5,1.111111111,m
56,26,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,1.166666667,m
57,27,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,1.111111111,m
58,28,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,1.142857143,m
59,29,25cb97ad-2d44-443a-b5cb-09b8949a9a11,0.0,1.111111111,m
60,0,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.0,2.0,m
61,1,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.5,1.5,m
62,2,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.0,1.5,m
63,3,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.0,2.0,m
64,4,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.5,2.0,m
65,5,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.0,1.5,m
66,6,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.0,1.25,m
67,7,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.0,2.0,m
68,8,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.0,1.5,m
69,9,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.0,2.0,m
70,10,cb5c0cd0-8be1-464c-a190-49491ebc906c,1.0,1.25,m
71,11,cb5c0cd0-8be1-464c-a190-49491ebc906c,1.0,1.5,m
72,12,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.0,1.25,m
73,13,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.5,1.166666667,m
74,14,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.0,1.25,m
75,15,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.0,1.142857143,m
76,16,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.5,1.166666667,m
77,17,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.0,1.142857143,m
78,18,cb5c0cd0-8be1-464c-a190-49491ebc906c,1.0,1.25,m
79,19,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.0,1.166666667,m
80,20,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.0,1.142857143,m
81,21,cb5c0cd0-8be1-464c-a190-49491ebc906c,1.0,1.142857143,m
82,22,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.5,1.111111111,m
83,23,cb5c0cd0-8be1-464c-a190-49491ebc906c,1.0,1.166666667,m
84,24,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.5,1.111111111,m
85,25,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.0,1.111111111,m
86,26,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.0,1.166666667,m
87,27,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.0,1.111111111,m
88,28,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.0,1.142857143,m
89,29,cb5c0cd0-8be1-464c-a190-49491ebc906c,0.0,1.111111111,m
90,0,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,2.0,f
91,1,ec68e025-2a70-4db0-8760-50bf2f20f856,0.5,1.5,f
92,2,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,1.5,f
93,3,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,2.0,f
94,4,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,2.0,f
95,5,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,1.5,f
96,6,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,1.25,f
97,7,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,2.0,f
98,8,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,1.5,f
99,9,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,2.0,f
100,10,ec68e025-2a70-4db0-8760-50bf2f20f856,1.0,1.25,f
101,11,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,1.5,f
102,12,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,1.25,f
103,13,ec68e025-2a70-4db0-8760-50bf2f20f856,1.0,1.166666667,f
104,14,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,1.25,f
105,15,ec68e025-2a70-4db0-8760-50bf2f20f856,1.0,1.142857143,f
106,16,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,1.166666667,f
107,17,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,1.142857143,f
108,18,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,1.25,f
109,19,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,1.166666667,f
110,20,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,1.142857143,f
111,21,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,1.142857143,f
112,22,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,1.111111111,f
113,23,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,1.166666667,f
114,24,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,1.111111111,f
115,25,ec68e025-2a70-4db0-8760-50bf2f20f856,1.0,1.111111111,f
116,26,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,1.166666667,f
117,27,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,1.111111111,f
118,28,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,1.142857143,f
119,29,ec68e025-2a70-4db0-8760-50bf2f20f856,0.0,1.111111111,f
120,0,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,1.111111111,f
121,1,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,1.142857143,f
122,2,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,1.0,1.111111111,f
123,3,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,1.166666667,f
124,4,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,1.111111111,f
125,5,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,1.111111111,f
126,6,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,1.166666667,f
127,7,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,1.111111111,f
128,8,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,1.142857143,f
129,9,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,1.142857143,f
130,10,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,1.166666667,f
131,11,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.5,1.25,f
132,12,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.5,1.142857143,f
133,13,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.5,1.166666667,f
134,14,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,1.142857143,f
135,15,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,1.0,1.25,f
136,16,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,1.166666667,f
137,17,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,1.0,1.25,f
138,18,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,1.0,1.5,f
139,19,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,1.25,f
140,20,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,2.0,f
141,21,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,1.5,f
142,22,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,2.0,f
143,23,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,1.25,f
144,24,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,1.5,f
145,25,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,2.0,f
146,26,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,2.0,f
147,27,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,1.5,f
148,28,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,1.5,f
149,29,1dc0719d-8ea5-4912-a6b8-1a79c1b44f11,0.0,2.0,f
150,0,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.111111111,m
151,1,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.142857143,m
152,2,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.111111111,m
153,3,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.166666667,m
154,4,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.111111111,m
155,5,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.111111111,m
156,6,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.166666667,m
157,7,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.111111111,m
158,8,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.142857143,m
159,9,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.142857143,m
160,10,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.166666667,m
161,11,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.25,m
162,12,8326e083-b165-43d0-8037-d9fbec8115d1,1.0,1.142857143,m
163,13,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.166666667,m
164,14,8326e083-b165-43d0-8037-d9fbec8115d1,0.5,1.142857143,m
165,15,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.25,m
166,16,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.166666667,m
167,17,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.25,m
168,18,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.5,m
169,19,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.25,m
170,20,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,2.0,m
171,21,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.5,m
172,22,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,2.0,m
173,23,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.25,m
174,24,8326e083-b165-43d0-8037-d9fbec8115d1,0.5,1.5,m
175,25,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,2.0,m
176,26,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,2.0,m
177,27,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.5,m
178,28,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,1.5,m
179,29,8326e083-b165-43d0-8037-d9fbec8115d1,0.0,2.0,m
180,0,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,1.111111111,m
181,1,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,1.142857143,m
182,2,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,1.111111111,m
183,3,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,1.166666667,m
184,4,91a0019f-a777-44f3-86f8-23ed632862c2,1.0,1.111111111,m
185,5,91a0019f-a777-44f3-86f8-23ed632862c2,1.0,1.111111111,m
186,6,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,1.166666667,m
187,7,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,1.111111111,m
188,8,91a0019f-a777-44f3-86f8-23ed632862c2,1.0,1.142857143,m
189,9,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,1.142857143,m
190,10,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,1.166666667,m
191,11,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,1.25,m
192,12,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,1.142857143,m
193,13,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,1.166666667,m
194,14,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,1.142857143,m
195,15,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,1.25,m
196,16,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,1.166666667,m
197,17,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,1.25,m
198,18,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,1.5,m
199,19,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,1.25,m
200,20,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,2.0,m
201,21,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,1.5,m
202,22,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,2.0,m
203,23,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,1.25,m
204,24,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,1.5,m
205,25,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,2.0,m
206,26,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,2.0,m
207,27,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,1.5,m
208,28,91a0019f-a777-44f3-86f8-23ed632862c2,1.0,1.5,m
209,29,91a0019f-a777-44f3-86f8-23ed632862c2,0.0,2.0,m
210,0,2c527781-86d5-42fd-a67e-135cae126d34,0.0,1.111111111,m
211,1,2c527781-86d5-42fd-a67e-135cae126d34,0.0,1.142857143,m
212,2,2c527781-86d5-42fd-a67e-135cae126d34,0.0,1.111111111,m
213,3,2c527781-86d5-42fd-a67e-135cae126d34,1.0,1.166666667,m
214,4,2c527781-86d5-42fd-a67e-135cae126d34,0.0,1.111111111,m
215,5,2c527781-86d5-42fd-a67e-135cae126d34,0.0,1.111111111,m
216,6,2c527781-86d5-42fd-a67e-135cae126d34,0.0,1.166666667,m
217,7,2c527781-86d5-42fd-a67e-135cae126d34,0.0,1.111111111,m
218,8,2c527781-86d5-42fd-a67e-135cae126d34,0.0,1.142857143,m
219,9,2c527781-86d5-42fd-a67e-135cae126d34,0.0,1.142857143,m
220,10,2c527781-86d5-42fd-a67e-135cae126d34,1.0,1.166666667,m
221,11,2c527781-86d5-42fd-a67e-135cae126d34,0.0,1.25,m
222,12,2c527781-86d5-42fd-a67e-135cae126d34,1.0,1.142857143,m
223,13,2c527781-86d5-42fd-a67e-135cae126d34,0.0,1.166666667,m
224,14,2c527781-86d5-42fd-a67e-135cae126d34,0.0,1.142857143,m
225,15,2c527781-86d5-42fd-a67e-135cae126d34,0.5,1.25,m
226,16,2c527781-86d5-42fd-a67e-135cae126d34,0.0,1.166666667,m
227,17,2c527781-86d5-42fd-a67e-135cae126d34,0.0,1.25,m
228,18,2c527781-86d5-42fd-a67e-135cae126d34,0.0,1.5,m
229,19,2c527781-86d5-42fd-a67e-135cae126d34,0.5,1.25,m
230,20,2c527781-86d5-42fd-a67e-135cae126d34,0.0,2.0,m
231,21,2c527781-86d5-42fd-a67e-135cae126d34,0.0,1.5,m
232,22,2c527781-86d5-42fd-a67e-135cae126d34,0.0,2.0,m
233,23,2c527781-86d5-42fd-a67e-135cae126d34,0.0,1.25,m
234,24,2c527781-86d5-42fd-a67e-135cae126d34,0.0,1.5,m
235,25,2c527781-86d5-42fd-a67e-135cae126d34,0.0,2.0,m
236,26,2c527781-86d5-42fd-a67e-135cae126d34,0.0,2.0,m
237,27,2c527781-86d5-42fd-a67e-135cae126d34,0.0,1.5,m
238,28,2c527781-86d5-42fd-a67e-135cae126d34,0.0,1.5,m
239,29,2c527781-86d5-42fd-a67e-135cae126d34,0.0,2.0,m
240,0,5fab71a0-078a-46d7-9d45-1bb3e020465b,1.0,1.111111111,f
241,1,5fab71a0-078a-46d7-9d45-1bb3e020465b,1.0,1.142857143,f
242,2,5fab71a0-078a-46d7-9d45-1bb3e020465b,1.0,1.111111111,f
243,3,5fab71a0-078a-46d7-9d45-1bb3e020465b,1.0,1.166666667,f
244,4,5fab71a0-078a-46d7-9d45-1bb3e020465b,1.0,1.111111111,f
245,5,5fab71a0-078a-46d7-9d45-1bb3e020465b,1.0,1.111111111,f
246,6,5fab71a0-078a-46d7-9d45-1bb3e020465b,1.0,1.166666667,f
247,7,5fab71a0-078a-46d7-9d45-1bb3e020465b,1.0,1.111111111,f
248,8,5fab71a0-078a-46d7-9d45-1bb3e020465b,1.0,1.142857143,f
249,9,5fab71a0-078a-46d7-9d45-1bb3e020465b,1.0,1.142857143,f
250,10,5fab71a0-078a-46d7-9d45-1bb3e020465b,1.0,1.166666667,f
251,11,5fab71a0-078a-46d7-9d45-1bb3e020465b,1.0,1.25,f
252,12,5fab71a0-078a-46d7-9d45-1bb3e020465b,1.0,1.142857143,f
253,13,5fab71a0-078a-46d7-9d45-1bb3e020465b,1.0,1.166666667,f
254,14,5fab71a0-078a-46d7-9d45-1bb3e020465b,1.0,1.142857143,f
255,15,5fab71a0-078a-46d7-9d45-1bb3e020465b,1.0,1.25,f
256,16,5fab71a0-078a-46d7-9d45-1bb3e020465b,1.0,1.166666667,f
257,17,5fab71a0-078a-46d7-9d45-1bb3e020465b,1.0,1.25,f
258,18,5fab71a0-078a-46d7-9d45-1bb3e020465b,0.5,1.5,f
259,19,5fab71a0-078a-46d7-9d45-1bb3e020465b,0.0,1.25,f
260,20,5fab71a0-078a-46d7-9d45-1bb3e020465b,0.0,2.0,f
261,21,5fab71a0-078a-46d7-9d45-1bb3e020465b,0.0,1.5,f
262,22,5fab71a0-078a-46d7-9d45-1bb3e020465b,0.0,2.0,f
263,23,5fab71a0-078a-46d7-9d45-1bb3e020465b,1.0,1.25,f
264,24,5fab71a0-078a-46d7-9d45-1bb3e020465b,0.0,1.5,f
265,25,5fab71a0-078a-46d7-9d45-1bb3e020465b,1.0,2.0,f
266,26,5fab71a0-078a-46d7-9d45-1bb3e020465b,0.0,2.0,f
267,27,5fab71a0-078a-46d7-9d45-1bb3e020465b,0.0,1.5,f
268,28,5fab71a0-078a-46d7-9d45-1bb3e020465b,0.0,1.5,f
269,29,5fab71a0-078a-46d7-9d45-1bb3e020465b,0.0,2.0,f
270,0,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,1.111111111,m
271,1,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,1.142857143,m
272,2,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,1.111111111,m
273,3,f112cf62-ed7a-4480-8c94-f99d955f4c11,1.0,1.166666667,m
274,4,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.5,1.111111111,m
275,5,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,1.111111111,m
276,6,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,1.166666667,m
277,7,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,1.111111111,m
278,8,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,1.142857143,m
279,9,f112cf62-ed7a-4480-8c94-f99d955f4c11,1.0,1.142857143,m
280,10,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,1.166666667,m
281,11,f112cf62-ed7a-4480-8c94-f99d955f4c11,1.0,1.25,m
282,12,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,1.142857143,m
283,13,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,1.166666667,m
284,14,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.5,1.142857143,m
285,15,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,1.25,m
286,16,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,1.166666667,m
287,17,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,1.25,m
288,18,f112cf62-ed7a-4480-8c94-f99d955f4c11,1.0,1.5,m
289,19,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.5,1.25,m
290,20,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,2.0,m
291,21,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.5,1.5,m
292,22,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,2.0,m
293,23,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,1.25,m
294,24,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,1.5,m
295,25,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,2.0,m
296,26,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,2.0,m
297,27,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,1.5,m
298,28,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,1.5,m
299,29,f112cf62-ed7a-4480-8c94-f99d955f4c11,0.0,2.0,m
300,0,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.5,1.111111111,m
301,1,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.0,1.142857143,m
302,2,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.0,1.111111111,m
303,3,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.0,1.166666667,m
304,4,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.0,1.111111111,m
305,5,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.0,1.111111111,m
306,6,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.0,1.166666667,m
307,7,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.5,1.111111111,m
308,8,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.0,1.142857143,m
309,9,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.0,1.142857143,m
310,10,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.0,1.166666667,m
311,11,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.0,1.25,m
312,12,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.0,1.142857143,m
313,13,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.0,1.166666667,m
314,14,a2edfdab-75d6-404a-8064-788fbdf9c2e5,1.0,1.142857143,m
315,15,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.5,1.25,m
316,16,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.0,1.166666667,m
317,17,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.0,1.25,m
318,18,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.0,1.5,m
319,19,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.0,1.25,m
320,20,a2edfdab-75d6-404a-8064-788fbdf9c2e5,1.0,2.0,m
321,21,a2edfdab-75d6-404a-8064-788fbdf9c2e5,1.0,1.5,m
322,22,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.5,2.0,m
323,23,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.0,1.25,m
324,24,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.0,1.5,m
325,25,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.0,2.0,m
326,26,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.0,2.0,m
327,27,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.5,1.5,m
328,28,a2edfdab-75d6-404a-8064-788fbdf9c2e5,0.0,1.5,m
329,29,a2edfdab-75d6-404a-8064-788fbdf9c2e5,1.0,2.0,m
330,0,32b945b2-d9f7-4b7e-aac6-903204d0b1e7,0.0,2.0,f
331,1,32b945b2-d9f7-4b7e-aac6-903204d0b1e7,0.0,1.5,f
332,2,32b945b2-d9f7-4b7e-aac6-903204d0b1e7,0.0,1.5,f
